pid,item,description,price,condition,dimension_w,dimension_l,dimension_h,img_file,quantity,category
288,Maurizio Tempestini Clamshell Chair,A pair of Mid Century Modern clamshell by Maurizio Tempestini for Salterini. Made of iron this practical and classic design has found its way to homes and patios around the world. You will love the quality and craftsmanship of this mid-century masterpiece. These chairs feature a wrought iron decorative ivy motifs on the wings of each chair. ,440,good,33,26,28,outdoor-2,4,seating
166,Vintage Slatted Wood Outdoor Armchair,Slatted wood back. Wooden frame with white fabric seat ,200,good,24,21,37,outdoor-3,6,seating
371,Vintage Ambasz Piretti Dorsal Tablet Student Desk,,200,good,26,26,31,student-desk-1,20,desks
129,Vintage Stow Davis Desk with Ebonized Curved Top,"A vintage Stow Davis executive desk with a large ebonized curved top. Brass detailing for the three pulls on either side and glides enhance the presence of this desk. At nine feet wide, this massive desk would be perfect for a large modern space.",3400,excellent,108,42,30,office-desk-2,1,desks
121,Herman Miller Eames Executive Soft Pad Chair,"Similar in design to the aluminum group series of chairs, the soft pad group offers the same aesthetic with the addition of plush, individually upholstered cushions to the seat and back. ",800,very good,23,22,39,office-chair-2,3,seating
274,Mid Century Modern Jens Risom Wood Arm Chairs,Sculpted wood frame construction. Original blue orange checkered pattern fabric upholstery.,300,average,27,25,32,office-chair-3,4,seating
372,Mid Century Kurt Ostervig Dining Chair,Made in Denmark. Teak wood mid-century Danish chairs designed by Kurt Ostervig. The deep contoured backrests provide comfort.,800,very good,19,19,31,side-chair-5,6,seating
313,Finnish Martela Kilta Arm Chair Olli Mannermaa 1955,This is a Kilta arm chair manufactured by Martela. This chair was designed in 1955 by Interior Architect Olli Mannermaa. This is a classic chair design and has appeared in the Museum of Modern Art.,500,good,25,25,30,side-chair-6,2,seating
282,Vintage Paul McCobb Connoisseur Collection Reception Desk,"A Paul McCobb Connoisseur Collection reception desk for H. Sacks & Sons. This is a single pedestal, reception desk with a right hand return. A modesty panel, metal frame support and trimming is also featured along with 9 drawers and a writing surface. This large well-crafted desk would look great in a modern home or office.",6000,excellent,66,63,30,office-desk-3,1,desks
261,Mid Century Modern G-Plan Desk,"Stylish, vintage G Plan desk with secretary drawer in a medium mahogany. It features a 2 drawers in each pedestal and a single desk drawer. It has a dramatic canted front, forward protruding side panels, and nicely sculpted handles that give this piece an Italian flair",1000,average,41,18,28,home-desk-2,2,desks
158,Mid Century Modern Small Schoolroom Style Desk,"A Vintage Mid Century Modern small desk with three drawers, all of which have square wooden drawer pulls, and one of which has a locking mechanism. A great schoolroom style small desk, perfect for any home or office.",500,average,41,25,29,home-desk-3,0,desks
312,Two Tier Entrance Table Desk Mahogany,Solid mahogany with tapered legs. Art Deco style. This table would look great in a front entry. Good writing surface or bookshelf.,600,very good,23,37,38,side-desk-2,2,desks
396,Water Buffalo Hide- Tanned Leather with Hair,"A Water Buffalo hide approximately seven square feet. This hide is in great condition the skin has been tanned into leather with the hair on it. This hide still retains pieces of the hooves and the tail. Perfect for a craft project, to use as leather for upholstering, or even as a remarkable rug.",900,very good,82,92,1,rug-1,1,miscellaneous
296,Memphis Design Sottsass Dhurrie Rug,"This Memphis style pattern enlivens this rug to buzz, pulse, swarm and vibrate. It is characteristic of this school of design""s highly original use of pattern and color. Bold, fantastic, colorful, and compelling, Memphis furniture and accessories are outrageously ornamental. ""II Nuovo Design"", what came to be known as Memphis took the design world by storm in 1981. A piece like this could define a seating area, it can be put on wooden or tiled floors or directly on carpets. This is a pure cotton, handloomed rug, often called Dhurries. It has a few light stains, but otherwise in good condition. A great addition to any home or office.",800,very good,80,60,1,rug-2,2,miscellaneous
284,Vintage 8ft Danish Geometric Rug ,"Beautiful vintage 5ft x 8ft Danish rug. The rug features an attractive geometric pattern for any styled Mid-Century Modern home. Colors consist of green, navy and tan.",360,average,96,80,1,rug-3,1,miscellaneous
139,Modern Hand Woven Wool Nepal Rug,"Style: NEPAL | Material: 100% Wool | Colors: Blue | Design: Modern | Age: Vintage | Weev: Hand Knotted |
Origin: India ",500,average,60,48,1,rug-4,0,miscellaneous
125,Atomic Style Red Lamp,"Vintage Atomic Style red lamp with original fiberglass shade. Lampshade features classic whip stiching. Lampshade has minor indentions, shade is in great shape otherwise",100,average,14,10,25,lighting-3,4,miscellaneous
353,Metal and Fabric Red Lounge Chair by Steelcase,"A comfortable steel and fabric vintage lounge chair by Steelcase. With red, single-indent cushioning and a laid-back chair design, this chair is sleek but comfy and perfect for any home or office",400,average,26,29,32,lounge-chair-3,2,seating
322,Gardner Leaver for Steelcase Swivel Leather Lounge Arm Chairs,"American Circa 1970`s Circular stainless steel swivel base Newly upholstered in black leather
Upholstered arms",3000,very good,30,30,31,lounge-chair-4,0,seating
